Date,Power_time,Outages,Remark
3/21/2024,20.5,3.5,
3/22/2024,19.5,4.5,
3/23/2024,15.5,8.5,
3/24/2024,21.5,2.5,
3/25/2024,20,4,
3/26/2024,21,3,
3/27/2024,7,17,
3/28/2024,15.5,8.5,
3/29/2024,19,5,
3/30/2024,20,4,
3/31/2024,18.5,5.5,
4/1/2024,21,3,
4/2/2024,17.5,6.5,
4/3/2024,14.5,9.5,
4/4/2024,15,9,
4/5/2024,20,4,
4/6/2024,18,6,
4/7/2024,18.5,5.5,
4/8/2024,20,4,
4/9/2024,19,5,
4/10/2024,16,8,
4/11/2024,18,6,
4/12/2024,18,6,
4/13/2024,15,9,
4/14/2024,9.5,14.5,
4/15/2024,2.5,21.5,
4/16/2024,14,10,
4/17/2024,16,8,
4/18/2024,13,11,
4/19/2024,16.5,7.5,
4/20/2024,,,Wedding weekend
4/21/2024,,,Wedding weekend
4/22/2024,,,Wedding weekend
4/23/2024,9,15,
4/24/2024,15.5,8.5,
4/25/2024,21,3,
4/26/2024,19.5,4.5,
4/27/2024,0,24,Maintenance
4/28/2024,0,24,Maintenance
4/29/2024,5.5,18.5,End of maintenance
4/30/2024,19.5,4.5,
5/1/2024,20,4,
5/2/2024,17.5,6.5,
5/3/2024,20.5,3.5,
5/4/2024,20,4,
5/5/2024,13,11,
5/6/2024,13,11,
5/7/2024,23.5,0.5,
5/8/2024,18.5,5.5,
5/9/2024,17.5,6.5,
5/10/2024,20.5,3.5,
5/11/2024,13.5,10.5,
5/12/2024,19,5,
5/13/2024,19,5,
5/14/2024,19,5,
5/15/2024,7.5,16.5,
5/16/2024,8,16,
5/17/2024,17.5,6.5,
5/18/2024,12.5,11.5,
5/19/2024,16.5,7.5,
5/20/2024,19.5,4.5,
5/21/2024,14,10,
5/22/2024,23,1,
5/23/2024,14.5,9.5,
5/24/2024,18.5,5.5,
